product_name,brand,price,category,market_name,image_url,link,query_date
12x cerveza mestra botellín 330cc - pack catador,Mestra,13990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/e6628b1f-02dd-4e69-b03e-0cdf0b0b5be0.734ea04f8936c9c21d6c7cb7e658f5e9.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/e6628b1f-02dd-4e69-b03e-0cdf0b0b5be0.734ea04f8936c9c21d6c7cb7e658f5e9.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-mestra-botellin-330cc-pack-catador/00780461704052,2025-04-24 16:52:13
"24x cerveza cusqueña lager botellín 4,8° 330cc",Cusqueña,24890,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/09f3008c-0ef6-43f5-8be6-4617d4405084.e6bb092d1ae593d08baa206511ec16d3.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/09f3008c-0ef6-43f5-8be6-4617d4405084.e6bb092d1ae593d08baa206511ec16d3.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/24x-cerveza-cusquena-lager-botellin-4-8-330cc/00159364170441,2025-04-24 16:52:13
"12x cerveza peroni lager botellín 5,1° 330cc",Peroni,11990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/8d44f6af-a470-4b5e-a7aa-e39f16918529.7880974787dcbc4560b351e13a1c3928.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/8d44f6af-a470-4b5e-a7aa-e39f16918529.7880974787dcbc4560b351e13a1c3928.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-peroni-lager-botellin-5-1-330cc/00164459158185,2025-04-24 16:52:13
Pack x 12 cerveza artesanal – morena maravillosa 473 cc,Rural,43080,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/8819eccc-8aeb-4c9b-979a-686c1d4e03fd.fb618da597f20474835d9380734dfbed.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/8819eccc-8aeb-4c9b-979a-686c1d4e03fd.fb618da597f20474835d9380734dfbed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x-12-cerveza-artesanal-morena-maravillosa-473-cc/01780215000345,2025-04-24 16:52:13
Pack x12 cerveza juana rosa 473cc,Rural,43080,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/0f530484-43dd-4687-90ef-c83235e2dcd0.a779ba12e38572d40558649ba109b576.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/0f530484-43dd-4687-90ef-c83235e2dcd0.a779ba12e38572d40558649ba109b576.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x12-cerveza-juana-rosa-473cc/01780215000346,2025-04-24 16:52:13
"24x cerveza peroni lager botellín 5,1° 330cc",Peroni,28990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/f1e181ac-51dc-47c2-8d5a-aa3035b1fcd5.0c23928cd85d5fad3334947ad2e9d9a3.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/f1e181ac-51dc-47c2-8d5a-aa3035b1fcd5.0c23928cd85d5fad3334947ad2e9d9a3.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/24x-cerveza-peroni-lager-botellin-5-1-330cc/00164459158199,2025-04-24 16:52:13
12x cerveza heineken botellín 5° 355cc,Heineken,15590,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/7a569d93-1c39-4547-b378-7c3f7d454fde.f1e5af04ae3f5f309dcf16936095fca4.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/7a569d93-1c39-4547-b378-7c3f7d454fde.f1e5af04ae3f5f309dcf16936095fca4.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-heineken-botellin-5-355cc/00162224002717,2025-04-24 16:52:13
12x cerveza kunstmann torobayo 5° 330cc,Kunstmann,17990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/db33c778-74e8-4915-afb7-7b72437aa4d5.1f18c01d5e113c17b75b9f4ced0dea91.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/db33c778-74e8-4915-afb7-7b72437aa4d5.1f18c01d5e113c17b75b9f4ced0dea91.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-kunstmann-torobayo-5-330cc/00159364170424,2025-04-24 16:52:13
"12x cerveza budweiser botellín 4,8° 330cc",Budweiser,12090,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/45d9e4fb-4f2e-4ea5-8c89-14902a15e669.1f1da749f0b9cfc363a3715ac01508a1.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/45d9e4fb-4f2e-4ea5-8c89-14902a15e669.1f1da749f0b9cfc363a3715ac01508a1.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-budweiser-botellin-4-8-330cc/00159465428769,2025-04-24 16:52:13
Cerveza lager 470cc royal guard,Royal guard,6990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/5333567e-7006-4265-8eb7-969d2f82053b.b02cc551f66f80e7542fdfe40cbf4c4f.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/5333567e-7006-4265-8eb7-969d2f82053b.b02cc551f66f80e7542fdfe40cbf4c4f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/cerveza-lager-470cc-royal-guard/00780210000275,2025-04-24 16:52:13
Pack 6 cervezas royal guard botellon 650cc,Royal guard,8990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/35c485a5-790d-48b5-8a08-e9f21fc8d070.356f42e968c7f42b75cd160674949ebc.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/35c485a5-790d-48b5-8a08-e9f21fc8d070.356f42e968c7f42b75cd160674949ebc.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-6-cervezas-royal-guard-botellon-650cc/00780210000417,2025-04-24 16:52:13
12x cerveza kunstmann ipa botellín 5° 330cc,Kunstmann,22990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/be3dccf4-074c-4c1b-97cb-c1d67449d051.b95836000b48461272d5c1259251f811.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/be3dccf4-074c-4c1b-97cb-c1d67449d051.b95836000b48461272d5c1259251f811.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-kunstmann-ipa-botellin-5-330cc/00160633971976,2025-04-24 16:52:13
Cuello negro stout pack (24) botellas,Cuello negro,50000,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/5d909d79-b6e8-4001-9ead-4c4f49d62f97.bf6f28cb7af8656f516b701264adf8d8.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/5d909d79-b6e8-4001-9ead-4c4f49d62f97.bf6f28cb7af8656f516b701264adf8d8.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/packs/cuello-negro-stout-pack-24-botellas/00780467322002,2025-04-24 16:52:13
Pack 6 cervezas patagonia austral hoppy lager 470cc,Patagonia,5500,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/a2eef432-4a87-418c-9151-71612172c573.96d8fb1ab5c162a666670aedddf53882.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/a2eef432-4a87-418c-9151-71612172c573.96d8fb1ab5c162a666670aedddf53882.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-6-cervezas-patagonia-austral-hoppy-lager-470cc/00780210000405,2025-04-24 16:52:13
Hidromiel caja 3 uds 330 cc,Melicöl,10000,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/16d5fdd3-e0f7-41d7-808c-d7b409f01448.0f85a9790a08c0cd4c9535085b30c65a.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/16d5fdd3-e0f7-41d7-808c-d7b409f01448.0f85a9790a08c0cd4c9535085b30c65a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/hidromiel-caja-3-uds-330-cc/00073718637486,2025-04-24 16:52:13
